key,horizon,estimate,id
snaive,h = 3,17.8666666666667,1
snaive,h = 9,6.081510081510083,1
snaive,h = 12,6.6287148594377525,1
snaive,h = 24,3.730215531424811,1
hw,h = 3,8.110520543991544,2
hw,h = 9,9.119436252117072,2
hw,h = 12,3.819568336321374,2
hw,h = 24,3.050382188805015,2
ar,h = 3,7.133853423673674,3
ar,h = 9,5.35936166682667,3
ar,h = 12,3.0789321956785773,3
ar,h = 24,3.0244303707972944,3
sarima,h = 3,2.1721305026093436,4
sarima,h = 9,0.9465588548370384,4
sarima,h = 12,1.189790320890565,4
sarima,h = 24,2.9108909727330037,4
var,h = 3,2.895226652249451,5
var,h = 9,2.8265143240205544,5
var,h = 12,5.834688866213198,5
var,h = 24,2.5577065532351257,5
svm,h = 3,4.286729058231183,6
svm,h = 9,1.5266717198807784,6
svm,h = 12,1.0677694161744098,6
svm,h = 24,0.7784281578458939,6
rf,h = 3,6.708155111111114,7
rf,h = 9,2.280636636636655,7
rf,h = 12,1.680012550200809,7
rf,h = 24,1.3742358094768117,7
xgb,h = 3,8.06103663126629,8
xgb,h = 9,2.8591456926723047,8
xgb,h = 12,1.8650687547093896,8
xgb,h = 24,1.2876287347276418,8
mlp,h = 3,9.208501556408727,9
mlp,h = 9,9.235325819950646,9
mlp,h = 12,4.161385465609582,9
mlp,h = 24,5.4143312243261175,9
lstm,h = 3,6.294864301670261,10
lstm,h = 9,5.34451127335425,10
lstm,h = 12,2.1215424439702644,10
lstm,h = 24,2.801254051636357,10
